frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"1","0.000000000","10.8.0.2","103.97.83.153","6","76"
"2","0.002000000","103.97.83.153","10.8.0.2","6","76"
"3","0.006000000","10.8.0.2","103.97.83.153","6","308"
"4","0.008000000","103.97.83.153","10.8.0.2","6","68"
"5","0.032000000","103.97.83.153","10.8.0.2","6","116"
"6","0.033000000","10.8.0.2","103.97.83.153","6","68"
"7","0.097000000","10.8.0.2","164.90.117.36","6","76"
"8","0.099000000","164.90.117.36","10.8.0.2","6","76"
"9","0.100000000","10.8.0.2","164.90.117.36","6","245"
"10","0.103000000","164.90.117.36","10.8.0.2","6","68"
"11","0.128000000","164.90.117.36","10.8.0.2","6","5908"
"12","0.129000000","10.8.0.2","164.90.117.36","6","68"
"13","0.131000000","164.90.117.36","10.8.0.2","6","940"
"14","0.132000000","10.8.0.2","164.90.117.36","6","68"
"15","0.144000000","10.8.0.2","164.90.117.36","6","194"
"16","0.149000000","10.8.0.2","103.97.83.153","6","484"
"17","0.159000000","164.90.117.36","10.8.0.2","6","326"
"18","0.160000000","10.8.0.2","164.90.117.36","6","1380"
"19","0.169000000","10.8.0.2","103.97.83.153","6","260"
"20","0.171000000","103.97.83.153","10.8.0.2","6","68"
"21","0.173000000","164.90.117.36","10.8.0.2","6","277"
"22","0.205000000","10.8.0.2","164.90.117.36","6","68"
"23","0.216000000","10.8.0.2","103.97.83.153","6","276"
"24","0.216000000","103.97.83.153","10.8.0.2","6","116"
"25","0.217000000","10.8.0.2","103.97.83.153","6","68"
"26","0.220000000","103.97.83.153","10.8.0.2","6","196"
"27","0.221000000","10.8.0.2","103.97.83.153","6","68"
"28","0.224000000","10.8.0.2","103.97.83.153","6","132"
"29","0.235000000","103.97.83.153","10.8.0.2","6","116"
"30","0.275000000","10.8.0.2","103.97.83.153","6","68"
"31","0.342000000","10.8.0.2","34.247.95.18","6","76"
"32","0.344000000","34.247.95.18","10.8.0.2","6","76"
"33","0.349000000","10.8.0.2","34.247.95.18","6","245"
"34","0.353000000","34.247.95.18","10.8.0.2","6","68"
"35","0.995000000","34.247.95.18","10.8.0.2","6","2964"
"36","0.997000000","10.8.0.2","34.247.95.18","6","68"
"37","0.999000000","34.247.95.18","10.8.0.2","6","469"
"38","1.000000000","10.8.0.2","34.247.95.18","6","68"
"39","1.023000000","10.8.0.2","34.247.95.18","6","194"
"40","1.025000000","34.247.95.18","10.8.0.2","6","68"
"41","1.051000000","10.8.0.2","103.97.83.153","6","228"
"42","1.066000000","103.97.83.153","10.8.0.2","6","116"
"43","1.067000000","10.8.0.2","103.97.83.153","6","68"
"44","1.268000000","34.247.95.18","10.8.0.2","6","119"
"45","1.272000000","10.8.0.2","34.247.95.18","6","1742"
"46","1.277000000","34.247.95.18","10.8.0.2","6","68"
"47","1.531000000","34.247.95.18","10.8.0.2","6","314"
"48","1.566000000","10.8.0.2","34.247.95.18","6","68"
"49","5.605000000","10.8.0.2","54.197.254.244","6","76"
"50","5.606000000","54.197.254.244","10.8.0.2","6","76"
"51","5.609000000","10.8.0.2","54.197.254.244","6","279"
"52","5.610000000","54.197.254.244","10.8.0.2","6","68"
"53","6.220000000","54.197.254.244","10.8.0.2","6","5612"
"54","6.220000000","10.8.0.2","54.197.254.244","6","68"
"55","6.221000000","54.197.254.244","10.8.0.2","6","393"
"56","6.221000000","10.8.0.2","54.197.254.244","6","68"
"57","6.250000000","10.8.0.2","54.197.254.244","6","194"
"58","6.251000000","54.197.254.244","10.8.0.2","6","68"
"59","6.524000000","54.197.254.244","10.8.0.2","6","119"
"60","6.528000000","10.8.0.2","54.197.254.244","6","1226"
"61","6.529000000","54.197.254.244","10.8.0.2","6","68"
"62","6.832000000","54.197.254.244","10.8.0.2","6","196"
"63","6.866000000","10.8.0.2","54.197.254.244","6","68"
